"Pour plus d'informations sur le contenu de ce fichier et notamment pour interpréter les codes remarques associés aux analyses, veuillez vous reporter au fichier de métadonnées.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Code BSS";"Nom Station";"Code paramètre";"Paramètre";"Unité";"AN";"ECART_TYPE";"NB";"MEDIANE";"PERCENTILE_10";"PERCENTILE_90";"MINI";"MAXI";"MOYENNE";"Code remarque";"NBNONQUANT";"CODE_FRACTANALY"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1109";"Atrazine déisopropyl";"µg/L";"2016";"0";"4";",006";",006";",006";",006";",006";",006";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1109";"Atrazine déisopropyl";"µg/L";"2017";"0";"4";",006";",006";",006";",006";",006";",006";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1109";"Atrazine déisopropyl";"µg/L";"2018";"0";"2";",005";",005";",005";",005";",005";",005";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1109";"Atrazine déisopropyl";"µg/L";"2019";"0";"4";",005";",005";",005";",005";",005";",005";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1110";"Azinphos éthyl";"µg/L";"2012";"0";"4";",01";",01";",01";",01";",01";",01";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1110";"Azinphos éthyl";"µg/L";"2013";"0";"4";",01";",01";",01";",01";",01";",01";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1110";"Azinphos éthyl";"µg/L";"2014";"0";"4";",01";",01";",01";",01";",01";",01";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1110";"Azinphos éthyl";"µg/L";"2016";"0";"3";",01";",01";",01";",01";",01";",01";"10";"3";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1110";"Azinphos éthyl";"µg/L";"2017";"0";"1";",01";",01";",01";",01";",01";",01";"10";"1";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1110";"Azinphos éthyl";"µg/L";"2018";"0";"2";",01";",01";",01";",01";",01";",01";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1110";"Azinphos éthyl";"µg/L";"2019";"0";"4";",01";",01";",01";",01";",01";",01";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1111";"Azinphos méthyl";"µg/L";"2012";"0";"4";",01";",01";",01";",01";",01";",01";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1111";"Azinphos méthyl";"µg/L";"2013";"0";"4";",01";",01";",01";",01";",01";",01";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1111";"Azinphos méthyl";"µg/L";"2014";"0";"4";",01";",01";",01";",01";",01";",01";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1111";"Azinphos méthyl";"µg/L";"2016";"0";"3";",01";",01";",01";",01";",01";",01";"10";"3";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1111";"Azinphos méthyl";"µg/L";"2017";"0";"2";",01";",01";",01";",01";",01";",01";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1111";"Azinphos méthyl";"µg/L";"2018";"0";"2";",01";",01";",01";",01";",01";",01";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1111";"Azinphos méthyl";"µg/L";"2019";"0";"4";",01";",01";",01";",01";",01";",01";"10";"4";"23"
